Date,Time,ns1:sex,ns1:lat,lat,Latitudes,ns1:lon,lon,Longitudes
19-04-1902,11:39:55,F,483000N,483000,48.3,0091200E,91200,0.912
19-04-1902,11:39:55,M,483000N,483000,48.3,0091200E,91200,0.912
20-04-1902,06:00:00,M,530500N,530500,53.05,0004900W,4900,-0.049
23-04-1902,12:00:00,M,640900N,640900,64.09,0215100E,215100,2.151
23-04-1902,21:46:00,M,640900N,640900,64.09,0215100W,215100,-2.151
27-04-1902,22:32:00,M,403900N,403900,40.39,0733959E,733959,7.339
02-05-1902,10:40:00,M,525900N,525900,52.59,0005900W,5900,-0.059
02-05-1902,10:40:00,F,525900N,525900,52.59,0005900W,5900,-0.059
03-05-1902,01:41:00,M,481300N,481300,48.13,0162000E,162000,1.62
03-05-1902,01:41:00,F,481300N,481300,48.13,0162000E,162000,1.62
03-05-1902,13:45:00,F,475500N,475500,47.55,0071200E,71200,0.712
03-05-1902,12:00:00,M,475500N,475500,47.55,0071159E,71159,0.711
04-05-1902,00:07:00,M,513000N,513000,51.3,0001000W,1000,-0.01
06-05-1902,03:00:00,M,541000N,541000,54.1,0192459E,192459,1.924
06-05-1902,03:00:00,M,541000N,541000,54.1,0192500E,192500,1.925
07-05-1902,03:15:00,F,485200N,485200,48.52,0022000E,22000,0.22
08-05-1902,01:51:00,F,464300N,464300,46.43,0024200E,24200,0.242
08-05-1902,12:00:00,M,464300N,464300,46.43,0024100E,24100,0.241
08-05-1902,01:51:00,M,464300N,464300,46.43,0024200E,24200,0.242
10-05-1902,10:00:00,M,402600N,402600,40.26,0800000W,800000,-8
15-05-1902,01:00:00,F,442500N,442500,44.25,0085700E,85700,0.857
16-05-1902,10:00:00,M,501800N,501800,50.18,0190800E,190800,1.908
27-05-1902,04:30:00,M,284200N,284200,28.42,1003100W,1003100,-0.031
27-05-1902,06:00:00,M,555200N,555200,55.52,0040100W,40100,-0.401
27-05-1902,04:30:00,F,284200N,284200,28.42,1003100W,1003100,-0.031
04-06-1902,09:30:00,M,505800N,505800,50.58,0070000E,70000,0.7
08-06-1902,08:30:00,M,423900N,423900,42.39,0734500E,734500,7.345
08-06-1902,08:30:00,M,423900N,423900,42.39,0734500W,734500,-7.345
14-06-1902,04:51:00,F,423800N,423800,42.38,0001100E,1100,0.011
16-06-1902,12:00:00,F,414548N,414548,41.45,0724107E,724107,7.241
20-06-1902,14:15:00,M,511400N,511400,51.14,0003500W,3500,-0.035
24-06-1902,05:00:00,M,431800N,431800,43.18,0052400E,52400,0.524
01-07-1902,17:00:00,M,474500N,474500,47.45,0072000E,72000,0.72
05-07-1902,10:55:00,M,340400N,340400,34.04,1181500W,1181500,-1.815
05-07-1902,04:20:00,F,422600N,422600,42.26,0705500W,705500,-7.055
10-07-1902,12:00:00,M,501859N,501859,50.18,0185700E,185700,1.857
10-07-1902,07:30:00,M,512000N,512000,51.2,0070200E,70200,0.702
18-07-1902,12:40:00,F,531300N,531300,53.13,0063300E,63300,0.633
18-07-1902,12:40:00,M,531300N,531300,53.13,0063300E,63300,0.633
24-07-1902,07:55:00,F,555000N,555000,55.5,0043100W,43100,-0.431
29-07-1902,06:53:00,F,513000N,513000,51.3,0001000W,1000,-0.01
08-08-1902,12:00:00,M,512700N,512700,51.27,0023459E,23459,0.234
09-08-1902,16:00:00,M,480500N,480500,48.05,0161500E,161500,1.615
09-08-1902,12:00:00,F,431800N,431800,43.18,0052400E,52400,0.524
09-08-1902,12:00:00,M,431800N,431800,43.18,0052400E,52400,0.524
10-08-1902,10:30:00,M,510300N,510300,51.03,0134400E,134400,1.344
10-08-1902,10:30:00,F,510300N,510300,51.03,0134400E,134400,1.344
10-08-1902,12:00:00,M,591959N,591959,59.19,0180259E,180259,1.802
15-08-1902,05:00:00,F,515100N,515100,51.51,0042000E,42000,0.42
16-08-1902,09:30:00,F,512500N,512500,51.25,0001200W,1200,-0.012
16-08-1902,09:30:00,M,512500N,512500,51.25,0001200W,1200,-0.012
19-08-1902,01:30:00,M,405800N,405800,40.58,0734100W,734100,-7.341
07-09-1902,06:00:00,M,485200N,485200,48.52,0022000E,22000,0.22
15-09-1902,03:45:00,M,504959N,504959,50.49,0125500E,125500,1.255
20-09-1902,23:30:00,M,380700N,380700,38.07,0132200E,132200,1.322
21-09-1902,22:00:00,M,512700N,512700,51.27,0023500W,23500,-0.235
21-09-1902,23:45:00,F,335500S,335500,-33.55,1471300E,1471300,14.713
21-09-1902,23:45:00,M,335500S,335500,-33.55,1471300E,1471300,14.713
25-09-1902,02:15:00,M,542000N,542000,54.2,0100800E,100800,1.008
26-09-1902,10:15:00,M,384100N,384100,38.41,0155400E,155400,1.554
29-09-1902,19:00:00,M,571000N,571000,57.1,0020400W,20400,-0.204
18-10-1902,08:00:00,F,305400N,305400,30.54,0843400W,843400,-8.434
31-10-1902,06:00:00,F,193700S,193700,-19.37,0431300W,431300,-4.313
31-10-1902,06:00:00,M,193700S,193700,-19.37,0431300W,431300,-4.313
01-11-1902,10:00:00,F,480900N,480900,48.09,0101500E,101500,1.015
07-11-1902,20:15:00,F,424700N,424700,42.47,0882400W,882400,-8.824
17-11-1902,12:00:00,M,473000N,473000,47.3,0190500E,190500,1.905
